PAGARIYA SUPER SHOPEE|||||||||||||
Kot Bazar, DHARANGAON|||||||||||||
ITEM Amount wise Stock Statement From Date 29/01/2026 To 29/01/2026|||||||||||||
Item Name|Size|MRP|Op.Stock|Op.Amt.|Stock In|In Amt.|Stock Out|Out Amt.|Cl.Stock|Cl. Amt.|Profit/Loss|G.P.%|Closing Rate
ANMOL SCRUBER COMBO|3|0|46.67|791.06|||||46.67|791.06|||16.9500749946432
ANNARSA ATTA|500 GM|0|7.5|999.9|||||7.5|999.9|||133.32
ANNI SEEDLESS DATES|200 GM|0|1|32.14|||||1|32.14|||32.14
ANNI SEEDLESS DATES|500 GM|0|4|214.29|||||4|214.29|||53.5725
ANNPURNA YELLOW POWDER|50 GM|0|29|759.52|||||29|759.52|||26.1903448275862
ANNUVED HALDI RAKTACHANDAN|125 GM|0|-1|-46.24|||||-1|-46.24|||46.24
ANNUVED UBTAN SCRUB|125 GM|0|1|46.24|||||1|46.24|||46.24
ANUSHRI PUJA AGARBATTIS|20|0|2|13.54|||||2|13.54|||6.77
APEX PLASTIC MOP|1|0|2|1016|||||2|1016|||508
APIS 250GM FARD DATES|250GM|0|1|85.57|||||1|85.57|||85.57
APIS FRUIT JAM|450 GM|0|1||||||1||||0
APIS KESAR|0.50 GM|0|1||||||1||||0
APIS KESAR|1 GM|0|2||||||2||||0
APIS MIX FRUIT JAM|500 GM|0|3|279.5|||||3|279.5|||93.1666666666667
APPLE JAR|1|0|-1|-7.2|||||-1|-7.2|||7.2
APPLE VINEGAR|500 ML|0|4|367.24|||||4|367.24|||91.81
APSARA ERASER|1|0|2|4.29|||||2|4.29|||2.145
APSARA MATT MAGIC 2.0|10|0|||||||||||65535
APSARA NON DUST|1|0|3|10.72|||||3|10.72|||3.57333333333333
APSARA NON DUST|1 PCS|0|19|40.74|||||19|40.74|||2.14421052631579
APSARA PENCIL|10|0|24|857.18|||||24|857.18|||35.7158333333333
APSARA SHARPENER|1|0|4|13.39|||||4|13.39|||3.3475
APU CHOC|1|0|38|132.58|||||38|132.58|||3.48894736842105
AQUA|16 GM|0|1||||||1||||0
AQUA FRESH BODY CLEANSER|125 GM|0|6|363.11|||||6|363.11|||60.5183333333333
AQUA WHITE SENSITIVE|1|0|63||||||63||||0
AQUA WHITE TRIPLE GUARD|1|0|123||||||123||||0
ARABIAN DATES|500 GM|0|1|59.38|||||1|59.38|||59.38
ARADHYA|125 GM|0|1|37.15|||||1|37.15|||37.15
ARIEL COMPLETE 1KG+500GM|1 KG+500 GM|0|1|188.95|||||1|188.95|||188.95
ARIEL FRONT LOAD|1 KG|0|2|474.59|||||2|474.59|||237.295
